Country,CPI2016,Rank,Region,WB Code,World Bank CPIA,World Economic Forum EOS,Global Insight Country Risk Ratings,Bertelsmann Foundation Transformation Index,African Development Bank CPIA,IMD World Competitiveness Yearbook,Bertelsmann Foundation Sustainable Governance Index,World Justice Project Rule of Law Index,PRS International Country Risk Guide,Varities of Democracy Project,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit Ratings,PERC Asia Risk Guide,Number of Sources,Std Error 2016,Lower CI,Upper CI,Min,Max,OECD,G20,BRICS,EU,Arab states
Spain,58,41,WE/EU,ESP,,51.0,59,,,38.0,61.0,65.0,58.0,,72.0,,,7,4.09,51,65,38,72,y,,,y,
Georgia,57,44,ECA,GEO,,68.0,47,53.0,,,,61.0,,65.0,,49.0,,6,3.61,51,63,47,68,,,,,
Latvia,57,44,WE/EU,LVA,,48.0,59,57.0,,45.0,71.0,,50.0,67.0,54.0,65.0,,9,2.96,52,62,45,71,y,,,y,
Grenada,56,46,AME,GRD,58.0,,47,,,,,62.0,,,,,,3,4.63,48,63,47,62,,,,,
Cyprus,55,47,WE/EU,CYP,,49.0,47,,,,42.0,,67.0,,72.0,,,5,5.94,46,65,42,72,,,,y,
Czech Republic,55,47,WE/EU,CZE,,46.0,59,65.0,,47.0,52.0,62.0,50.0,,54.0,59.0,,9,2.24,51,59,46,65,y,,,y,
Malta,55,47,WE/EU,MLT,,54.0,59,,,,52.0,,58.0,,54.0,,,5,1.39,53,58,52,59,,,,y,
Mauritius,54,50,SSA,MUS,,53.0,59,49.0,,,,,,,54.0,,,4,2.14,50,57,49,59,,,,,
Rwanda,54,50,SSA,RWA,47.0,76.0,59,40.0,53.0,,,,,49.0,,,,6,5.07,46,62,40,76,,,,,
Korea (South),53,52,AP,KOR,,49.0,47,57.0,,47.0,52.0,69.0,50.0,,54.0,,50.0,9,2.33,49,57,47,69,y,y,,,
Namibia,52,53,SSA,NAM,,49.0,59,49.0,,,,,50.0,,54.0,,,5,2.03,49,55,49,59,,,,,
Slovakia,51,54,WE/EU,SVK,,34.0,59,61.0,,45.0,52.0,,50.0,,54.0,57.0,,8,3.09,46,57,34,61,y,,,y,
Malaysia,49,55,AP,MYS,,56.0,59,49.0,,52.0,,41.0,41.0,,54.0,,44.0,8,2.46,45,53,41,59,,,,,
Croatia,49,55,WE/EU,HRV,,39.0,47,61.0,,38.0,52.0,50.0,50.0,,54.0,52.0,,9,2.39,45,53,38,61,,,,y,
Jordan,48,57,MENA,JOR,,60.0,34,40.0,,53.0,,50.0,50.0,40.0,54.0,,,8,3.03,43,53,34,60,,,,,y
Hungary,48,57,WE/EU,HUN,,43.0,59,53.0,,37.0,33.0,49.0,50.0,,54.0,54.0,,9,2.89,43,53,33,59,y,,,y,
Romania,48,57,WE/EU,ROM,,37.0,59,61.0,,37.0,52.0,49.0,41.0,52.0,37.0,57.0,,10,3.0,43,53,37,61,,,,y,
Cuba,47,60,AME,CUB,,,47,40.0,,,,,41.0,53.0,54.0,,,5,2.9,42,52,40,54,,,,,
Italy,47,60,WE/EU,ITA,,47.0,59,,,39.0,52.0,57.0,41.0,,37.0,,,7,3.34,42,53,37,59,y,y,,y,
Saudi Arabia,46,62,MENA,SAU,,66.0,22,36.0,,,,,50.0,,54.0,,,5,7.54,33,58,22,66,,y,,,y
Sao Tome and Principe,46,62,SSA,STP,47.0,,47,,44.0,,,,,,,,,3,0.93,44,47,44,47,,,,,
Suriname,45,64,AME,SUR,,,34,,,,,47.0,32.0,65.0,,,,4,7.53,32,57,32,65,,,,,
Montenegro,45,64,ECA,MON,,39.0,47,53.0,,,,,,,,44.0,,4,2.89,41,50,39,53,,,,,
Oman,45,64,MENA,OMN,,67.0,47,24.0,,,,,50.0,,37.0,,,5,7.07,33,56,24,67,,,,,y
Senegal,45,64,SSA,SEN,47.0,36.0,47,53.0,44.0,,,43.0,32.0,,54.0,,,8,2.63,40,49,32,54,,,,,
South Africa,45,64,SSA,ZAF,,49.0,47,45.0,,33.0,,47.0,41.0,,54.0,,,7,2.55,41,49,33,54,,y,y,,
