Country Rank,Country/Territory,Country Code,Region,CPI 2015 Score,Number of Surveys Used,Std Error,Min,Max,90% Lower CI,90%Upper CI,World Bank CPIA,World  Economic Forum EOS,Bertelsmann  Foundation TI,Arican Development Bank,IMD World Competitiveness Year Book,Bertelsmann Foundation SGI,World Justice Project ROL,PRS Internationl Country Risk Guide,Economist Intelligence Unit,IHS Global Insight,PERC Asia Risk Guide,Freedom House NIT
48,Saudi Arabia,SAU,MENA,52,5,7.03000020980835,36,77,40,64,,77.0,36.0,,,,,50.0,54.0,42.0,,
50,Bahrain,BHR,MENA,51,5,7.860000133514404,36,80,38,64,,80.0,36.0,,,,,50.0,38.0,52.0,,
50,Croatia,HRV,WE/EU,51,9,2.0199999809265137,41,62,48,54,,46.0,62.0,,41.0,57.0,50.0,50.0,54.0,52.0,,50.0
50,Hungary,HUN,WE/EU,51,9,3.7300000190734863,34,71,45,57,,47.0,53.0,,34.0,41.0,44.0,50.0,71.0,63.0,,52.0
50,Slovakia,SVK,WE/EU,51,8,3.630000114440918,35,63,45,57,,38.0,62.0,,35.0,57.0,,50.0,54.0,63.0,,52.0
54,Malaysia,MYS,AP,50,8,3.0,40,64,45,55,,64.0,49.0,,53.0,,40.0,41.0,54.0,42.0,56.0,
55,Kuwait,KWT,MENA,49,5,4.510000228881836,38,63,42,56,,52.0,40.0,,,,,50.0,38.0,63.0,,
56,Cuba,CUB,AME,47,4,3.640000104904175,40,54,41,53,,,40.0,,,,,41.0,54.0,52.0,,
56,Ghana,GHA,SSA,47,8,2.819999933242798,33,55,42,52,47.0,33.0,45.0,55.0,,,37.0,50.0,54.0,52.0,,
58,Greece,GRC,WE/EU,46,7,5.079999923706055,21,63,38,54,,45.0,,,43.0,57.0,50.0,41.0,21.0,63.0,,
58,Romania,ROM,WE/EU,46,9,3.109999895095825,36,62,41,51,,36.0,62.0,,37.0,57.0,45.0,41.0,38.0,42.0,,52.0
60,Oman,OMN,MENA,45,5,6.690000057220459,23,62,34,56,,62.0,23.0,,,,,50.0,38.0,52.0,,
61,Italy,ITA,WE/EU,44,7,2.5,35,54,40,48,,47.0,,,35.0,49.0,54.0,41.0,38.0,42.0,,
61,Lesotho,LSO,SSA,44,5,4.989999771118164,35,63,36,52,35.0,38.0,40.0,42.0,,,,,,63.0,,
61,Montenegro,MON,ECA,44,4,4.869999885559082,32,53,36,52,,50.0,53.0,,,,,,,32.0,,39.0
61,Senegal,SEN,SSA,44,8,2.609999895095825,32,54,40,48,47.0,43.0,53.0,45.0,,,38.0,41.0,54.0,32.0,,
61,South Africa,ZAF,SSA,44,7,2.609999895095825,34,54,40,48,,52.0,45.0,,34.0,,41.0,41.0,54.0,42.0,,
66,Sao Tome and Principe,STP,SSA,42,3,5.0,32,47,34,50,47.0,,,47.0,,,,,,32.0,,
66,The FYR of Macedonia,MKD,ECA,42,6,5.269999980926514,21,61,33,51,,61.0,40.0,,,,41.0,,21.0,42.0,,47.0
66,Turkey,TUR,ECA,42,8,2.0199999809265137,33,53,39,45,,53.0,45.0,,42.0,41.0,33.0,41.0,38.0,42.0,,
69,Bulgaria,BGR,WE/EU,41,9,2.430000066757202,32,53,37,45,,38.0,53.0,,32.0,49.0,32.0,41.0,38.0,42.0,,47.0
69,Jamaica,JAM,AME,41,6,1.6799999475479126,36,48,38,44,,42.0,36.0,,,,48.0,41.0,38.0,42.0,,
71,Serbia,SCG,ECA,40,7,3.9000000953674316,27,58,34,46,,37.0,58.0,,,,27.0,31.0,38.0,42.0,,47.0
72,El Salvador,SLV,AME,39,6,2.259999990463257,29,45,35,43,,37.0,45.0,,,,29.0,41.0,38.0,42.0,,
72,Mongolia,MNG,AP,39,8,1.7599999904632568,31,47,36,42,47.0,42.0,36.0,,37.0,,35.0,31.0,38.0,42.0,,
72,Panama,PAN,AME,39,6,3.009999990463257,31,52,34,44,,41.0,36.0,,,,34.0,31.0,38.0,52.0,,
72,Trinidad and Tobago,TTO,AME,39,4,4.639999866485596,31,52,31,47,,34.0,,,,,,31.0,38.0,52.0,,
76,Bosnia and Herzegovina,BIH,ECA,38,6,1.7100000381469727,32,42,35,41,,32.0,40.0,,,,34.0,,38.0,42.0,,42.0
